Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Neckline (product.metafields.shopify.neckline),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
extreme-baggy-washed-black-denim,Extreme Baggy Washed Black Denim,"HIGH-WAISTED WIDE-LEG DENIM OVERSIZED RELAXED FIT WASHED BLACK FINISH THICK NON-STRETCH FABRIC VOLUMINOUS BALLOON SILHOUETTE 100% COTTON DENIM AVAILABLE IN S, M, L",samarhaus,Apparel & Accessories > Clothing > Pants > Jeans,,,true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,5000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0616/8556/3467/files/IMG_5528.jpg?v=1763326117,1,,false,,,adults,black,cotton; denim,wide,,,long,s; m; l,,male,,high,,kg,,,active
extreme-baggy-washed-black-denim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0616/8556/3467/files/IMG_5531.jpg?v=1763326115,2,,,,,,,,,,,,,,,,,,,,,
extreme-baggy-washed-black-denim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0616/8556/3467/files/IMG_5527.jpg?v=1763326119,3,,,,,,,,,,,,,,,,,,,,,
extreme-baggy-washed-black-denim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0616/8556/3467/files/IMG_5530.jpg?v=1763326118,4,,,,,,,,,,,,,,,,,,,,,
extreme-baggy-washed-black-denim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0616/8556/3467/files/IMG_5533.jpg?v=1763326120,5,,,,,,,,,,,,,,,,,,,,,
oversized-cream-workwear-blouson-jacket,Oversized Cream Workwear Blouson Jacket,"RELAXED FIT BLOUSON JACKET POINTED COLLAR ELASTICATED HEMLINE AND CUFFS DROPPED SHOULDER SLEEVES OFF-WHITE CREAM TONE COTTON TWILL BLEND AVAILABLE IN S, M, L",Boulevard-Pakistan,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,,,true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0616/8556/3467/files/IMG_5486.jpg?v=1763325877,1,,false,,,adults,white,twill; cotton,,,,,s; m; l,long,female,,,,kg,,,active
oversized-cream-workwear-blouson-jacket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0616/8556/3467/files/IMG_5487.jpg?v=1763325878,2,,,,,,,,,,,,,,,,,,,,,
oversized-cream-workwear-blouson-jacket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0616/8556/3467/files/IMG_5489.jpg?v=1763325879,3,,,,,,,,,,,,,,,,,,,,,
oversized-cream-workwear-blouson-jacket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0616/8556/3467/files/IMG_5492.jpg?v=1763325878,4,,,,,,,,,,,,,,,,,,,,,
oversized-cream-workwear-blouson-jacket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0616/8556/3467/files/IMG_5496.jpg?v=1763325879,5,,,,,,,,,,,,,,,,,,,,,
